Title:,"Time Series, Area-Averaged of Upwelling longwave flux at toa (clear sky and no aerosol) monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
3/1/23 0:00,241.49118
4/1/23 0:00,255.840424
5/1/23 0:00,267.563538
6/1/23 0:00,275.816376
7/1/23 0:00,304.361969
8/1/23 0:00,294.8573
9/1/23 0:00,280.806244
10/1/23 0:00,272.362885
11/1/23 0:00,256.066956
12/1/23 0:00,249.342636
