Title:,"Time Series, Area-Averaged of Upwelling longwave flux at toa (clear sky and no aerosol) monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
3/1/23 0:00,256.296478
4/1/23 0:00,274.782227
5/1/23 0:00,281.531097
6/1/23 0:00,290.033386
7/1/23 0:00,312.292664
8/1/23 0:00,307.855225
9/1/23 0:00,296.292969
10/1/23 0:00,287.996063
11/1/23 0:00,272.058716
12/1/23 0:00,260.661285
